id,role,page_id,is_allowed,created_at,updated_at
283,Training Organizer,11,f,2025-06-16 13:02:03.556445+07,2025-06-17 16:36:00.855773+07
265,teacher,14,f,2025-06-16 10:46:58.616258+07,2025-06-17 17:57:07.190245+07
411,teacher,16,t,2025-06-16 15:34:37.667194+07,2025-06-17 17:57:07.190245+07
286,Training Organizer,14,f,2025-06-16 13:02:03.556445+07,2025-06-17 16:36:00.855773+07
273,Training Organizer,1,t,2025-06-16 13:02:03.556445+07,2025-06-17 16:36:00.855773+07
131,partner,13,t,2025-06-15 15:13:51.04226+07,2025-06-16 16:09:14.782399+07
264,partner,14,t,2025-06-16 10:46:58.616258+07,2025-06-16 16:09:14.782399+07
305,partner,16,t,2025-06-16 14:33:28.38407+07,2025-06-16 16:09:14.782399+07
54,collector,1,t,2025-06-15 15:13:16.972388+07,2025-06-17 16:34:46.629739+07
55,collector,2,t,2025-06-15 15:13:16.972388+07,2025-06-17 16:34:46.629739+07
57,collector,4,t,2025-06-15 15:13:16.972388+07,2025-06-17 16:34:46.629739+07
58,collector,5,t,2025-06-15 15:13:16.972388+07,2025-06-17 16:34:46.629739+07
60,collector,7,t,2025-06-15 15:13:16.972388+07,2025-06-17 16:34:46.629739+07
61,collector,8,t,2025-06-15 15:13:16.972388+07,2025-06-17 16:34:46.629739+07
819,intern,48,t,2025-06-17 16:34:51.180903+07,2025-06-17 16:34:51.180903+07
820,intern,49,t,2025-06-17 16:34:51.180903+07,2025-06-17 16:34:51.180903+07
821,intern,50,t,2025-06-17 16:34:51.180903+07,2025-06-17 16:34:51.180903+07
822,intern,51,t,2025-06-17 16:34:51.180903+07,2025-06-17 16:34:51.180903+07
134,teacher,3,f,2025-06-15 15:14:03.557799+07,2025-06-17 17:57:07.190245+07
135,teacher,4,f,2025-06-15 15:14:03.557799+07,2025-06-17 17:57:07.190245+07
62,collector,9,t,2025-06-15 15:13:16.972388+07,2025-06-17 16:34:46.629739+07
64,collector,11,t,2025-06-15 15:13:16.972388+07,2025-06-17 16:34:46.629739+07
65,collector,12,t,2025-06-15 15:13:16.972388+07,2025-06-17 16:34:46.629739+07
136,teacher,5,f,2025-06-15 15:14:03.557799+07,2025-06-17 17:57:07.190245+07
262,admin,14,t,2025-06-16 10:46:58.616258+07,2025-06-16 16:15:22.134844+07
303,admin,16,t,2025-06-16 14:33:28.380785+07,2025-06-16 16:15:22.134844+07
137,teacher,6,f,2025-06-15 15:14:03.557799+07,2025-06-17 17:57:07.190245+07
799,collector,47,t,2025-06-17 16:34:46.629739+07,2025-06-17 16:34:46.629739+07
800,collector,48,t,2025-06-17 16:34:46.629739+07,2025-06-17 16:34:46.629739+07
801,collector,49,t,2025-06-17 16:34:46.629739+07,2025-06-17 16:34:46.629739+07
802,collector,50,t,2025-06-17 16:34:46.629739+07,2025-06-17 16:34:46.629739+07
803,collector,51,t,2025-06-17 16:34:46.629739+07,2025-06-17 16:34:46.629739+07
760,teacher,51,t,2025-06-17 05:34:20.114287+07,2025-06-17 17:57:07.190245+07
396,intern,16,t,2025-06-16 15:34:21.119594+07,2025-06-17 16:34:51.180903+07
818,intern,47,t,2025-06-17 16:34:51.180903+07,2025-06-17 16:34:51.180903+07
132,teacher,1,t,2025-06-15 15:14:03.557799+07,2025-06-17 17:57:07.190245+07
138,teacher,7,t,2025-06-15 15:14:03.557799+07,2025-06-17 17:57:07.190245+07
