id,page_id,action_name,role,is_allowed,created_at,updated_at
728,48,delete,director,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
729,48,export,director,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
730,48,view,partner,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
731,48,create,partner,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
732,48,update,partner,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
733,48,delete,partner,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
734,48,export,partner,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
735,48,view,coordinator,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
736,48,create,coordinator,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
737,48,update,coordinator,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
738,48,delete,coordinator,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
739,48,export,coordinator,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
740,48,view,teacher,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
742,48,update,teacher,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
744,48,export,teacher,f,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
745,49,view,admin,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
746,49,create,admin,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
747,49,update,admin,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
748,49,delete,admin,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
749,49,export,admin,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
750,49,view,director,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
751,49,create,director,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
752,49,update,director,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
753,49,delete,director,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
754,49,export,director,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
755,49,view,partner,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
769,49,export,teacher,f,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
770,50,view,admin,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
771,50,create,admin,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
772,50,update,admin,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
773,50,delete,admin,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
774,50,export,admin,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
775,50,view,director,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
776,50,create,director,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
777,50,update,director,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
778,50,delete,director,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
779,50,export,director,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
780,50,view,partner,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
781,50,create,partner,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
782,50,update,partner,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
783,50,delete,partner,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
784,50,export,partner,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
785,50,view,coordinator,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
786,50,create,coordinator,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
787,50,update,coordinator,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
788,50,delete,coordinator,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
789,50,export,coordinator,t,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
790,50,view,teacher,f,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
791,50,create,teacher,f,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
792,50,update,teacher,f,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
793,50,delete,teacher,f,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
794,50,export,teacher,f,2025-06-17 05:33:52.660212+07,2025-06-17 05:33:52.660212+07
